2024-08-06 19:26:51: -- 分析开始 Periodic Timer
2024-08-06 19:26:56: Do Not Propagate Deletions: 1-way deletions reverted: 22660
2024-08-06 19:26:56: /2017/12/20171201_120403.mp4: L:TimeSize<>; 警告：较旧的文件将替换较新的文件
2024-08-06 19:26:56: /2017/12/20171205_164931.mp4: L:TimeSize<>; 警告：较旧的文件将替换较新的文件
2024-08-06 19:26:56: /2017/12/20171206_195417.mp4: L:TimeSize<>; 警告：较旧的文件将替换较新的文件
2024-08-06 19:26:56: 变更：161， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 47462
2024-08-06 19:26:56: Left to Right: Copy File: 161 
2024-08-06 19:26:56: == 同步开始由 Periodic Timer
2024-08-06 19:26:56: File Systems limited number of parallel threads to 8
2024-08-06 19:26:56: 新建复制 'F:/photo_script/donephotos/2018/01/20180101_112141.mov' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/01/20180101_112141.mov' (730,378)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/03/20200311_123715.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/03/20200311_123715.mp4' (7,911,154)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/03/20200314_072222.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/03/20200314_072222.mp4' (2,716,449)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/03/20200315_154247.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/03/20200315_154247.mp4' (1,855,087)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/09/20200904_180930.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/09/20200904_180930.mp4' (1,038,361)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/03/20200314_132356.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/03/20200314_132356.mp4' (3,753,052)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/03/20200314_161555.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/03/20200314_161555.mp4' (3,552,015)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2020/09/20200920_163819.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2020/09/20200920_163819.mp4' (4,435,796)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2021/02/20210201_192056.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2021/02/20210201_192056.mp4' (3,272,643)
2024-08-06 19:26:57: 新建复制 'F:/photo_script/donephotos/2021/01/20210110_132017.mov' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2021/01/20210110_132017.mov' (16,275,123)
2024-08-06 19:26:58: 新建复制 'F:/photo_script/donephotos/2021/02/20210201_185625.mp4' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2021/02/20210201_185625.mp4' (13,122,555)
2024-08-06 19:26:58: 新建复制 'F:/photo_script/donephotos/2021/01/20210110_181514.mov' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2021/01/20210110_181514.mov' (17,697,436)
