2024-08-06 21:50:31: -- 分析开始 Periodic Timer
2024-08-06 21:50:35: Do Not Propagate Deletions: 1-way deletions reverted: 22646
2024-08-06 21:50:36: 变更：170， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 49119
2024-08-06 21:50:36: Left to Right: Copy File: 170 
2024-08-06 21:50:36: == 同步开始由 Periodic Timer
2024-08-06 21:50:36: File Systems limited number of parallel threads to 8
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180817_063829.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180817_063829.jpg' (206,093)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180817_103126.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180817_103126.jpg' (88,261)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180818_171935.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180818_171935.jpg' (215,071)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180821_192940.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180821_192940.jpg' (232,032)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180817_153726.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180817_153726.jpg' (270,118)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180820_201016.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180820_201016.jpg' (269,468)
2024-08-06 21:50:36: 覆盖复制 'F:/photo_script/donephotos/2018/08/20180817_202144.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180817_202144.jpg' (561,836)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180821_193205.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180821_193205.jpg' (282,263)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180821_193155.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180821_193155.jpg' (280,917)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180822_203329.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180822_203329.jpg' (438,288)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180826_103553.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180826_103553.jpg' (519,698)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/08/20180826_103803.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/08/20180826_103803.jpg' (510,003)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/09/20180901_161351.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/09/20180901_161351.jpg' (317,375)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/09/20180906_145305.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/09/20180906_145305.jpg' (125,987)
2024-08-06 21:50:36: 新建复制 'F:/photo_script/donephotos/2018/09/20180909_191045.jpg' -> 'smbd://172.16.66.192/photo/tom/lib/cal/2018/09/20180909_191045.jpg' (257,530)
